Movement,Sensor,RMS,Variance,Peak-to-Peak,Zero Crossing Rate,SNR Estimate
Victory,EMG1,28801.562836789886,830939874.5756456,65535.0,0.16770000000000002,12024.788589464295
Victory,EMG2,31409.8409926088,986591518.3774517,65530.4,0.05670000000000001,6.679950309727066
Victory,EMG3,13437.353704275762,358273888.4156557,52427.4,0.017599999999999998,1.2094203833553316
Victory,EMG4,32696.59024950933,1069067661.2697672,65535.0,0.17609999999999998,588.5838641564393
Victory,EMG5,32653.03162119746,1066224684.426367,65535.0,0.1506,1697.5356936154062
Victory,EMG6,32475.929646896548,1054709763.9660753,65535.0,0.20250000000000004,2445.9761719379358
WristFlex,EMG1,28986.478487349534,841133480.9501073,65535.0,0.18929999999999997,15839.356255656056
WristFlex,EMG2,31340.586698419025,982232383.902125,65532.4,0.056400000000000006,6.123239088421386
WristFlex,EMG3,3090.2978939463305,14085006.988630999,52428.0,0.002,0.0
WristFlex,EMG4,32623.96647419728,1064323329.8249176,65535.0,0.056400000000000006,236.86240978437846
WristFlex,EMG5,32715.48250432933,1070302834.6965784,65535.0,0.07780000000000001,1146.8234857654975
WristFlex,EMG6,32543.080923127698,1059055993.3656601,65535.0,0.1956,2301.0976377835427
